Gene Symbol,Expression Value
DIAPH2.2,3.266878131
RP4.560B9.4,4.063558527
SLC7A8.4,4.729770933
COX7A2P2,9.403340598
CHD5.1,3.212410366
NA..2972,5.753229589
NA..2973,3.483701027
SH3BP2.3,6.464881612
EPO.1,5.764259693
NA..2974,5.591249226
RP3.507I15.1,10.83154333
SH3BP2.4,4.830423125
IGLV1.44.4,5.731219756
NA..2975,3.072072813
LOC102723479,4.447459216
TTTY2,4.640227117
CELSR1.1,4.142523854
LOC100506403.11,3.955276485
SCNN1A.2,6.035537927
RP1.192P9.1,4.375005009
RPL15,8.654976598
RAB7A.2,2.856510908
RAB7A.3,3.013995305
TMPRSS15.1,5.817242414
DYRK1B.1,6.377728674
GS1.124K5.9,4.052524808
SERPINB13.5,3.637415577
PRAMEF10,4.852960313
MYL4.3,5.747081501
TSSK2.1,5.981653265
SERHL2,5.699575237
IGLVIVOR22.1,4.595357694
NA..2976,4.197676182
MMP14.3,6.021918108
GABRA5.2,3.699621187
IGH.11,6.152409653
MAN1A2.2,3.66532729
NA..2977,4.325597668
SERHL2.1,5.206606366
DGCR14.2,5.766281872
NDRG3,8.989106547
TRPC6.1,4.932322585
NA..2978,3.706469806
SLC37A4.1,7.536565209
RP5.1170D6.1,4.017472917
CEACAM5.1,5.777739025
MTMR7.1,3.22900938
NA..2979,5.595775595
ENO1.2,10.10260187
MUC8.1,4.099646479
KIR2DS1.1,4.490013519
MYO9B.2,6.304111018
RPS14.2,3.794126987
NBN.3,4.782101513
NA..2980,3.860205734
RBBP4.1,6.675929518
OR2F2,3.182160361
ADRB3.1,5.536806078
SHMT1,3.653975618
ADCY10.1,3.536276144
RP1.28C20.1,3.619602481
ACO2.1,4.964384635
OR1F2P,4.577107053
DSCR3.1,6.206002459
FOXJ3.1,4.49621261
NA..2981,4.542037164
COL7A1.1,5.616719994
AC004692.5,6.45824845
CDC37P1,5.792531369
KLK13.2,5.679413456
OR7A10,3.692269965
HERC2P2,9.145416304
KIR2DL1.1,5.202931759
CYP4A11.4,8.226831712
LOC100293211,3.594657328
ATXN3.3,3.306835108
RP3.522P13.2,5.822707176
HLA.DRB6,3.781214736
NA..2982,6.209148088
KRT3,4.580084679
BV03S1J2.2,5.285357194
AC104537.2,3.669348903
NA..2983,4.192577195
COX7BP1,9.63105455
DISC1.3,3.962455603
NA..2984,5.015087088
CTAGE11P,4.230402448
KRT18P44,4.527831839
OR2J3,4.098136866
FLJ11292.1,4.001802723
RPS10P2,6.495656157
RP1.101G11.2,7.064090643
KRT19P2,3.722827798
CTAG1A.2,3.857002199
RP3.522P13.1,3.588132656
NA..2985,5.795926242
FLJ11292.2,4.957780815
RP6.149D17.1,3.022296395
FDPSP5,3.681090955
RP11.15P13.1,3.264703011
PPIAP21,4.654291725
RPL35P8,6.960534876
ARHGEF15.1,5.613969729
PRICKLE3,4.80349431
KRT19P2.1,4.899835716
KRT8P17,4.398405844
GS1.164F24.1,5.460914817
HNRNPA1P37,4.295488615
HPS1.3,4.517239792
RP5.1119A7.11,4.095771192
PGK1.3,10.12525074
RP11.560G2.2,5.536806078
DNAJC16.2,5.700678385
NCAM1.3,3.324366399
IGHA1.13,5.035465939
PRKAR1AP,4.230787794
HLA.DRB6.1,7.010509606
RPL22P22,8.028306024
RP4.581F12.1,4.916113626
PRAMEF11,5.715421271
CTNNAP1,4.927745041
ZHX3.1,7.271056327
ATP5G2P1,5.775992817
IGHG1.8,5.645186341
FUS.4,8.09306072
IL15.1,4.462440085
NA..2986,3.479315039
MDM2.3,5.890704661
NA..2987,4.668972418
RP1.272E8.1,3.379686811
LOC100289473,4.903483585
NTRK3.7,6.36352697
IGKV1OR2.108,6.63042354
RP11.209A2.1,10.57559464
ADD3.AS1,3.289719297
TARP.5,5.289773404
CLIC1P1,3.617123173
PGK1.4,5.726874822
LOC100293211.1,3.704389921
RP3.406C18.2,5.194412345
MRPS11P1,3.428099217
CAPN6.2,3.536651096
KYNU.3,6.230599409
ATF5.2,6.45697403
NA..2988,6.276400152
NA..2989,6.38261706
RP3.452M16.1,3.069015364
UBE2NL,8.623275174
TCR.alpha,3.51993129
MT4,5.52458513
NA..2990,5.827421389
TCRA.2,4.55205716
GAPDH.2,12.43744004
FOXO3.3,5.36757543
PCNAP3,2.84038743
RP1.217P22.2,3.629748957
TBCAP2,3.40668957
ZNF227,4.711799282
COL2A1.1,4.288288914
GPLD1.4,4.564719467
RP1.149A16.17,4.528137213
PPIL2.4,7.082604605
MRPS18B.1,9.402387667
NA..2991,4.146393778
AGRN.2,6.45539329
RREB1.5,4.258323568
T.Cell.Receptor.V.alpha.region,3.5629365
TNXB.2,5.983623157
HBA1.5,13.01494562
POLR2A.1,3.524267246
NA..2992,5.374847609
MYO5A.1,3.105078081
MS4A1.1,3.702653584
AGRN.3,6.775843655
POLR2A.2,3.751379132
PIWIL2,5.537689767
CD22.1,3.825800567
NA..2993,3.515486048
NA..2994,3.672886145
MC2R.1,3.921751588
NA..2995,3.674263806
HIRA.1,8.22340105
COL10A1.1,3.197604868
NA..2996,3.547733964
COL1A1.4,8.713952058
CYBB.2,3.174888965
IDS.8,6.035408281
TACC1.3,3.582092598
MC2R.2,3.371840629
NA..2997,4.782753879
HLA.J,9.828668681
TACC1.4,9.684599067
NA..2998,4.708157161
LOC101928278,3.810723528
NA..2999,2.808152261
USP33.2,4.109182389
CADM3.AS1,5.63781291
LOC101927792,2.977081896
RP5.1184F4.5,6.0554664
GART.4,4.154600486
NA..3000,7.24781135
MAG.1,4.553150657
TOX4.3,6.01766048
NA..3001,4.426585563
AGFG2.3,4.795883252
RP11.665C16.8,3.676583566
B3GALT2.1,3.085386557
NA..3002,5.327779908
HMGB3P30,3.605125492
SSTR2.1,4.788767097
HLA.E.2,9.801325842
RAP1GDS1.1,6.238301017
NA..3003,4.540516829
NA..3004,4.67570758
TNP2.1,3.207751466
BTF3P12,5.273718793
MYRF.1,4.786882267
MYRF.2,3.639624206
NA..3005,5.500218299
NCKAP1.1,4.644451343
RPS2.2,9.680993421
BTF3P13,3.625188789
CYP2D6.2,6.007315083
IGH.12,4.656304608
NA..3006,3.284779797
LOC101928104,5.036989135
NA..3007,5.203114028
SLC11A1.3,6.351258308
NA..3008,3.622193987
LIMK2.2,4.73663346
NR1D1.1,4.837859626
PIP5K1B.1,3.76483994
HLA.DMA,7.753585075
NA..3009,3.004353261
AC128677.4,6.567966156
RP11.680C21.1,3.687598504
NA..3010,5.16044073
FOLH1.2,4.028999855
CR1.2,4.792024191
PMS2P1.3,6.838104839
ZDHHC17.1,4.204826739
FOLH1.3,5.98686477
PMS2P3.3,4.179251406
IL6R.1,3.883849908
NA..3011,6.325538227
COX7C.2,11.92931732
PTEN.3,8.071177225
NCR2.1,6.519216826
NA..3012,3.657643364
CALCA.2,6.057097962
IDE.2,5.657190218
TYMP.1,6.047707261
GDF11.2,4.231796484
OR7E37P,7.43384049
TIAL1.2,4.233464689
CIAO1.1,8.134323478
IFIT2,5.524900283
STK17B.1,3.368656456
ABCA6,5.861188262
KLHL23.1,2.917246797
NA..3013,7.498072219
SLC11A1.4,4.990508385
C18orf25.1,5.009378556
GRIK5.2,8.066642815
CRX,4.35012216
KAZALD1.1,6.541439056
KNG1.1,9.669908683
MILR1,4.506327687
ST8SIA5.1,4.559458922
CACNA1S,5.136974727
ARVCF.2,7.354318837
SRPK2.4,4.415257735
MYOF.2,6.287671708
NA..3014,3.605503023
LOC101929232,4.523989693
HAL.1,5.014568384
KCNV2,3.28309608
CD44.9,5.48338818
NA..3015,2.852153702
OLFML1,9.086952408
NFATC2IP.2,8.19144357
NFATC2IP.3,8.013230634
CLCA2.3,2.99215864
ORAI2.1,4.653980358
SLC34A1.1,5.353965152
NA..3016,3.655235575
NA..3017,3.76203462
PWWP2A,3.122661758
FAM49B,6.360121112
NA..3018,3.81073874
NA..3019,5.062341025
NA..3020,3.142556428
SGSM2.1,4.663960922
C18orf25.2,3.569501708
NXPE3,3.661488187
ZNF816,4.206574026
MDM2.4,5.919179312
MBTPS1.1,7.631935971
MIR3916,3.152280381
MYH14,6.157773744
MT1M,7.932128495
ZNF675,3.277470342
ARPIN,6.270296856
NCKAP1L.1,5.87397018
ATF6.1,7.76895441
OR7E14P,5.536806078
CR1.3,3.639176338
STEAP1B,5.286433129
NA..3021,5.215508096
SMC1A.2,5.173625046
CLCN4.3,3.613847584
CPM.1,6.169398033
CYP2C9.5,3.192737138
RPL10L,5.428551816
GGA1.1,5.962013862
CALCA.3,5.044032189
BRINP3,3.262671756
CLOCK.1,4.527120937
CPS1.1,3.43279629
GRIA3.3,4.139680095
TGM4.1,3.687626811
TGM4.2,4.189647484
EDDM3A.2,3.729076052
NA..3022,4.446893433
NA..3023,3.830646309
NA..3024,3.413326756
NA..3025,5.231328364
GRIN2C.2,6.003702386
CDH8.1,3.147440538
SOS2.2,3.086303359
SOS2.3,5.069286512
NA..3026,3.231551951
NA..3027,2.965373779
NA..3028,7.428290487
NA..3029,5.789630156
NA..3030,4.038302581
NA..3031,3.698593286
LOC101929036.2,5.430276354
NPC1.1,6.399144807
NEBL.4,3.874874879
NA..3032,8.52949347
NA..3033,3.904608314
CATSPER2.2,5.893351726
RAB40A,3.72565969
TRPA1.1,3.813699836
SKIL.2,8.78515698
ZSWIM1,5.147921558
ZSCAN18,6.46503416
ZCCHC11.1,3.954865566
GSPT1.2,3.231468491
UPF3A.3,5.040093454
RAB40B.1,7.277345361
CINP,4.044434097
MDFIC.2,3.451892076
SCUBE3,5.203804349
NUP188.2,4.601584268
LOC101060363.4,3.611142464
ATP6V0A2.2,3.889409333
NA..3034,6.021973567
USP27X,4.395277882
NA..3035,5.132516999
EIF4G2.2,3.663185433
SREK1IP1.1,4.901209101
LRRC23.2,4.768083568
SPDYE2,6.516334319
ERICH1.5,5.087303614
TIMM50,5.927166063
TMEM144.1,3.264703011
HMHA1.1,4.110948315
NA..3036,5.722725036
NA..3037,4.123485104
NA..3038,7.005848668
HUS1.2,6.231820211
NA..3039,7.764111757
PIK3CB.1,4.874020719
SLC6A2.6,3.083757743
RHBDD3.1,5.940610594
MYLK3.3,3.807324769
PDAP1.1,4.023856994
LINC00963.1,6.358496182
AKR1C1.5,5.432781918
ZNF573.1,5.938834369
CLIC5.1,5.482326731
NA..3040,5.084909326
ANGEL2,3.5652598
GTPBP4,5.246354619
GNL3L.1,3.086303359
URB1.2,4.615231894
SVIL.2,4.022077385
POLG.1,6.549553652
POLG.2,5.093915726
KCNB1.1,5.316859018
NA..3041,5.142132685
NA..3042,4.310116091
SKA1,2.926102336
GPR135.2,4.060100058
RNF40.1,5.312510639
NA..3043,6.690352167
SOS2.4,3.810835752
COX16,7.402371678
SURF1.1,5.299897563
DHODH.2,4.875955874
NA..3044,3.761963586
ZFAND5.1,3.441574125
ST3GAL2.1,7.461252378
NA..3045,3.736750975
MAU2.3,3.950082319
NA..3046,8.224402159
CFLAR.10,3.529985301
LOC100127972,4.231099094
NA..3047,4.243547193
NA..3048,3.99692053
THAP3.1,5.913360975
NA..3049,4.411373083
MYH14.1,5.29186193
SIX5,4.816574161
NA..3050,5.563582224
ZNF234,3.47697042
NA..3051,4.864220274
ZNF813,4.349357088
NA..3052,3.938502745
SEC14L1P1,6.123695471
LRRC75B,5.308027791
AKAP6.1,4.162053716
RPLP2.2,3.643815518
DSERG1,7.048818687
EIF1.5,6.868375183
GNAS.8,9.878409649
NA..3053,3.709898495
ZBTB7C,3.935480796
NA..3054,4.439870613
PLEKHA2,3.773291712
SLC7A11.2,3.304181305
NA..3055,10.34925889
RPL10.2,5.668496971
WNT7B,4.855204502
RP11.473I1.9,6.170721818
HBE1.1,4.836227555
TYMS.2,4.375464974
NA..3056,4.855586292
PTPN1.1,4.424141555
ADCY2.2,4.517239792
NA..3057,4.744590569
PTPN1.2,4.769689125
ENOSF1.3,6.875373385
MIR6787.2,7.644008023
MAGOH2,3.944816981
MAGOH2.1,5.483143226
NA..3058,2.950488724
NA..3059,3.942887035
FUT7.1,6.591097031
NA..3060,3.147386316
NA..3061,2.740728217
NA..3062,3.764338882
CNPY4,5.959707468
NA..3063,5.994132803
IL27RA.1,5.387270165
NA..3064,9.235333567
NA..3065,4.998908972
PRKD1.1,3.187863514
NA..3066,5.207851851
SMARCA2.5,9.008940715
NA..3067,6.074935347
NA..3068,3.206529811
ITPK1.2,6.44418738
TEK.1,5.536710149
NA..3069,2.942228512
NA..3070,5.828015798
MIR3917,6.668486505
NA..3071,7.292043148
SEC61A1,9.258836382
YWHAB.1,9.464376322
YWHAB.2,11.83096823
EIF3L,12.04555505
CHCHD2,11.41838174
SEPT7.2,5.946850715
NGRN,10.57115814
NA..3072,6.346967604
SERBP1.3,11.18530745
SERBP1.4,9.245324583
COPZ1,8.920679998
VPS35.1,10.54222979
S100A6,11.83583217
AES,8.618121387
MIR6513,9.482780593
ITM2B,12.53416072
ITM2B.1,13.0169741
TMSB10,12.66996839
WDR6,8.444622471
EIF2AK1,6.182056522
EIF2AK1.1,8.764924156
RTFDC1,8.176551364
NAMPT.1,9.360780055
NAMPT.2,9.805824163
RPL7A,13.01893351
ZFAND5.2,9.895812185
WAC,9.010111753
TMEM30A,8.751398327
PERP.1,7.586376795
NAA50,10.21069734
PDCD6IP,9.727906125
RPS9.2,12.0681137
ADIPOR1,7.376835577
COPG1,6.5731611
UBE2Z,8.808797194
GSTK1,9.656906402
CNDP2.1,10.85114142
LOC100996747,11.60788694
DDX56,7.76690109
HN1,7.84600902
HYPK,11.44342761
A2M.1,11.67093393
TM9SF3,9.733541099
TRIM44.1,9.688881653
TRIM44.2,8.998195264
ADI1,10.40463935
RAB31,9.388177793
RAB31.1,8.937791224
RAB31.2,9.67255999
NRBP1,7.335527158
TMEM50A,8.629102592
C3,10.94525132
C14orf166,10.63536898
POMP,10.7278781
PIGT.1,8.836408325
GOLM1.1,9.73006373
MTCH2,9.549052335
NDUFA4,11.90196397
TRMT112,9.870999661
RDH11.1,8.822709917
RDH11.2,10.36001575
PTPLAD1,7.496244986
SLC39A1,7.736754479
PNRC2,11.36536991
WDR83OS,10.10704072
ZNF106,8.896000423
GPS1,7.29914414
YPEL5,10.33030587
YKT6,7.083382996
YKT6.1,5.437428531
PRMT5.2,8.174228827
GALNT2,6.452564445
GALNT2.1,7.761360088
SNX6,8.252786007
SSR3,6.348672812
ALDH18A1,7.341497725
SNX5,9.190710946
RAB11B,6.438708468
PRR13,10.16507341
TMEM43,9.254787414
NPLOC4,8.411387137
UFC1,10.26368787
CNOT2,8.294195607
UBE2H,7.326109233
NDFIP1,9.761954301
ATP5E,12.19758318
NUCKS1,10.86399054
GOLPH3,9.163034695
ILF3.3,8.467913121
ILF3.4,6.908810082
POLDIP2,8.364316123
GLTSCR2,12.31440246
MAPKAP1,7.495469533
BZW2,8.965212714
LARS,9.716386597
SELT,8.382136
YTHDF2,9.536859044
SPIN1,7.242619789
CCDC47,8.562872073
SUPT16H,8.022780153
PCNP.1,10.19615546
ARPC4.3,8.555230283
ARPC4.4,6.740432576
GOLGA7.1,9.763552692
ENAH.1,8.297230128
WBP11,6.851497805
WBP11.1,8.332493194
UBE2J1,8.202706949
UBE2J1.1,6.357240254
UBE2J1.2,7.436971119
UBE2J1.3,7.549957429
SPG21.1,8.633690474
SLTM,9.234877356
USP39,6.796457018
NSFL1C,8.178530977
NSFL1C.1,7.421280872
SYNCRIP.3,8.463346673
SYNCRIP.4,9.663022817
SYNCRIP.5,7.278903233
C20orf24,10.27402451
YY1AP1,8.600776358
CHMP3,9.259505035
EVL,7.22326488
TFG,10.20921685
DDX41,7.881699216
PPME1,7.741439595
C7orf55.LUC7L2,8.18170701
MED4,7.074321702
CTDSP1,8.795135318
HIGD1A,11.3101739
MIR6890,10.34472092
THRAP3,5.07273088
PPA1,10.98646382
CDC42BPB.1,7.011376327
GNL3,7.667836664
SLMO2,6.925019179
ARL8B,10.1425674
TNS3,10.00889307
POLR2E.1,9.187948469
SDF4,8.921831074
RBM8A.3,5.516105508
RBM8A.4,6.851641527
ARMCX3,9.382026588
SLC39A9.2,4.969804214
NDUFA10.2,9.50436583
PREB,8.015366795
PIAS1,7.335527158
PIAS1.1,7.352049035
PIAS1.2,8.381987751
RNF130.2,9.168523496
CPSF7,8.091819523
BACE2,8.42846227
METTL9,11.09413821
HSD17B12.3,10.25521082
CMPK1.1,9.53097037
MIF,10.92642809
PIH1D1,8.802082309
CAB39,9.730183217
SUCLG1,11.35029894
PMEPA1,7.04285468
GTF3C5,6.151995668
GPBP1L1.1,7.904455916
CDC27,5.635396298
CDC27.1,6.861662483
CDC27.2,6.965562216
CDC27.3,6.534947578
EMC3.1,9.134373948
MMADHC,10.6438445
NAT10,7.328772543
IPO9.1,8.233869158
EPS15,8.568932024
EPS15.1,9.213980849
ARFGAP1,7.34879133
CYBRD1,7.392470812
PARVA.3,8.418947162
C16orf58,6.344119439
LIMA1,10.57836353
AKIRIN1,7.820815352
KCTD3,6.759497604
PTCD3,8.021675139
FAM192A,7.701546201
FXYD6,7.862716863
EMC7,9.432724492
TMEM214,7.627950467
IARS2,9.343664851
DSG2.1,9.022262685
HERC2.1,7.153965679
STRN4,6.160525444
BACE1,7.644008023
MCMBP,6.97358374
KLHDC2,9.989010522
MRPL18,9.213694414
DCAF6,7.919096056
MLX.3,7.549296588
MLX.4,8.044139148
BAG3,10.42696446
DUS1L,7.919914535
VPS4A,8.324288232
TPCN1.2,8.620133218
RSL24D1,9.223688047
FAM49B.1,8.386151443
DYNLRB1.3,10.50594377
DYNLRB1.4,10.44534216
MRPL42,8.080781191
MAN1A2.3,6.560263697
MAN1A2.4,5.121357464
MAN1A2.5,9.143333618
PEF1,8.467238714
C6orf106.1,5.291834697
C6orf106.2,7.256993683
C19orf53,9.943055968
SPCS1,10.41608859
PPP6R3,7.755975041
KIAA0319L,7.552008717
TOLLIP,7.133411673
CNPY3.2,7.432820315
MRPS7,8.177636804
LAP3,9.687409153
STUB1,8.782580998
UQCC1,8.150911992
ARHGAP5.1,7.726547356
HDAC7,6.93336108
KCMF1,9.639571413
AFTPH,9.757870393
CARKD,9.114495945
ERBB2IP,9.426857162
MRPS35,8.977807249
MAP7D1,7.584066776
POMGNT1,7.347045204
BTBD1,9.577065398
SAE1.1,7.653074449
CMTM6.1,10.07778496
FAM127B,7.410585579
VKORC1,9.422240047
NOSIP,8.165490873
PHF3.1,4.533342875
PHF3.2,7.612866116
PHF3.3,3.0203477
PHF3.4,8.442788216
BCL2L13.1,7.829006659
ENOPH1,8.899154315
C16orf80,9.005291795
MIR3656,9.437232332
MIR3656.1,8.904179864
TOMM22,6.363809292
SLC25A38,7.055705918
NOP10,10.61758075
NGFRAP1,11.87851794
TTC19,9.649244564
SAP30BP,7.421636231
FAM129A,7.297007338
FAM129A.1,10.05140238
TSSC1,7.122078533
VPS51,8.878173703
CNOT6,7.293843927
LAMTOR3,9.198909729
CHCHD3,8.021675139
DCXR,9.946729491
TM7SF3,6.550111851
WBP5,10.6662033
DYNC1LI1,7.88411521
MSRB1,9.52472398
UBE2Q1,9.203803006
TSPAN13,8.297129516
MRPL16,9.364229124
TIMM10B,7.531916355
MORF4L1,11.98893091
RNASET2.2,8.911132148
RNASET2.3,8.916214499
BAZ1A,5.848537735
BAZ1A.1,6.891287676
ASNSD1,8.997982794
CCNB1IP1,9.417774287
HSD17B11,9.031952227
GMPR2,8.119992284
SSBP3,5.548418323
EFHD2,6.101851222
MAT2B,9.909534007
CPSF3L,7.829742623
SQRDL,9.166317318
PHLDA1,8.58209091
PHLDA1.1,8.411900744
PHLDA1.2,6.417879612
PHLDA1.3,6.552315555
PHLDA1.4,5.69753127
MRPS2,7.372772287
CXCL14,11.80026773
FKBP3,9.31939934
BSDC1.1,7.321401052
ZNF22,9.136953273
ZNF22.1,6.311058003
RPS27L,11.2920958
TMEM248,7.985730421
PRC1,4.642364479
PPDPF,6.962030249
UBL5,9.717224727
TSPYL2,8.633966468
DCTN4,6.323982075
NUP85,7.379968203
WRNIP1,3.998563581
LOC101060521,7.798265937
HGSNAT.1,8.75925726
PDXK.3,8.204446014
PDXK.4,9.407635522
ZFAND3,8.111787511
DHRS4,8.442392979
VRK3.2,7.890705682
FAM53C,8.071550061
MPC1,11.56758903
ECI2,10.2414078
COA3,10.81993909
MRPL15,9.463166567
ELOVL1,7.761463342
FAM65A,7.947706453
GIT1,7.335214214
FOXN3.2,7.929545362
SNN,8.659419283
SNN.1,4.603852734
FIS1,9.477921744
RBM47,10.35141
NMD3,7.157216706
FAM134A,7.604908231
ATP5SL.1,7.669517227
NUSAP1,5.108710997
PRPF38B,7.396907585
SLC38A2,10.52107076
COPS4,9.259952058
AZI2,7.88136151
PTMS,5.476539066
PTMS.1,6.803180124
MRPS16,7.904412972
OSBPL9,10.52462125
COMMD3,9.120441234
MRPL13,8.122425676
UFM1,9.354224516
NT5DC2.2,6.924033494
ATP13A1,7.413749416
PRPF40A.2,9.822429148
KXD1.1,4.495298127
WDR41,7.834160414
BFAR,7.6929734
EMC8,8.088680163
CXXC1,7.539780394
ZNF706,9.547849697
USB1.2,6.353543239
MEA1,9.584497292
CDC42EP4.1,7.830304683
CDC42EP4.2,5.035040586
AKAP8L.1,6.027233673
TMEM9B,9.317935834
SLC12A7,9.086021603
ARGLU1,10.17053353
ZNF672,7.773847465
DCTPP1,8.369254708
GMPPA,6.910811148
MKRN2.1,7.455862893
COMMD9,7.834755159
NDC1,4.910651029
FAM96B,9.744857699
AAAS,7.317127772
ARHGAP17,8.1145566
ZDHHC3,5.581835612
ZDHHC3.1,7.815863074
GGNBP2.1,8.652819108
FAF1,8.072037925
C20orf27,6.779955327
UBP1,8.636842607
PTGES2,7.698868905
FXYD5,7.614857452
CHMP5,9.120627926
NPDC1,7.843467825
SORBS1.3,8.506796275
RRAGC,9.322062093
AAR2,7.421312457
WDR11,8.61700299
AGFG1.2,8.444498212
AGFG1.3,7.275886661
ANKRD10,8.945587584
DBNDD2,8.901508003
TMEM165,8.721272344
AGPAT5,7.674478927
CUEDC2,9.069115797
ARFGEF2.2,8.757159223
TEX2,7.750902575
IFT57,9.302658719
NDUFC2,9.798285665
DERA,8.932996854
FTSJ3,7.408998391
TEX10.1,6.923594777
MRPL4,7.352439743
MRPS10,8.20413578
WDR26,8.748298408
UBR7,7.730313891
MFSD1,10.07400204
XAB2,4.98924723
CMAS,6.615444443
MRPS34,7.612168604
TMEM2,7.268748595
GGA1.2,7.389794921
ASF1B,4.906760971
C9orf78,7.571758053
RBX1,9.208915524
TIMM23,8.66427869
TIMM23.1,7.382560907
HMOX2,7.901538622
HMOX2.1,6.95388599
SENP2,6.192324837
C21orf59,8.173948754
RETSAT,8.312314141
CCDC25,7.524557036
RMDN3,8.162801262
NFYB,8.131301632
NFYB.1,7.778139722
NFYB.2,6.705597914
C17orf62,7.045374313
GATAD2A,8.016360002
TSEN34,7.844049429
NIF3L1,7.694077394
RBM22,8.3741445
ERGIC2,8.416489496
SLC25A37,6.692231892
SMAP1,8.162711775
MKKS,8.558474577
AP5M1.1,9.106396927
SRPRB,9.032725666
UBE2O.1,6.309159635
CRBN,8.721272344
SCAMP2,8.234037603
INF2,6.563835985
TRIB3.1,6.589885311
GLT8D1,10.13972832
GLT8D1.1,8.596286087
CENPT,5.074687533
ZNF395,9.00369918
ARL5A,9.35818445
SLC52A2,7.659141585
HMG20A,7.441373655
CARS2.1,7.856766614
GSDMD,7.372772287
TSR1,8.24338723
TSR1.1,6.046560238
CDC42SE1,8.144673368
APPL1,7.211995467
DDRGK1,7.830475648
NDUFA8,9.515607428
CLN6.5,5.990718167
OLFML3,9.636745116
MCTS1.1,8.555659059
SPATA20,7.998324297
MEAF6,8.053507686
RSF1,4.85933057
AMZ2,9.071963097
ADCK3,7.910091969
VAC14.2,7.080735509
ISOC1,8.882310674
VPS4B,8.761605663
DERL1,7.984238608
WHSC1L1,4.652985543
TMEM254,5.203062661
CCDC92,8.618008328
MAGEF1,6.495244197
CHMP1B,6.920427943
CHMP1B.1,8.569304505
TRAPPC11,6.981829013
EPS8L2,8.734972567
MAP4K4.2,8.78047887
CLDN1,4.952041657
CDIP1,7.085854796
TULP4,7.225566403
ARMC1,7.093164177
RAB25,7.844407915
C8orf33,7.602371879
TIMM13,8.645552142
NANS,7.970953987
UQCR10,10.93913072
LMBRD1,10.7829657
IP6K2,7.712905083
GOLT1B,6.996486638
REXO2,10.90963362
C6orf211,8.070833099
OSTM1,7.289825102
OXR1,7.549597679
DHX32,8.345003299
NOL6,6.664426313
NDUFB2,11.49242208
NDUFB2.1,9.794380381
MRPL44,5.248805301
ALG5.1,9.261479612
FYCO1.1,7.793505091
MKNK2,10.52712506
SCAND1,8.557268803
STMN3,4.461605984
PQLC1,7.874390012
RPRD1A.1,7.313556391
FN3KRP,8.05970799
MLPH,7.494692285
MOCS2,8.667022671
TMEM258,10.29574468
ATG101,8.308548667
NR1H2,6.819370944
ARL6IP4,9.408302161
SCPEP1.1,8.806071308
APPL2,7.364191649
LANCL2,6.749197196
C12orf10,7.532777988
ARNT.1,6.620146423
ARNT.2,5.667664147
PLEKHO1,7.124004033
PNMA1,8.776292528
ECSIT,6.987157561
NDUFB4,11.44899532
NUBP2,7.852646026
TNKS2,8.301609989
POGK,8.156821359
ARFIP1.1,8.012980869
NAGK,8.943396044
C1QA,7.263886421
PRICKLE4,11.22500188
ING4,7.389694299
UTP11L,8.614316391
PRKD3.2,7.673929338
SLC38A1,9.200434542
GTPBP4.1,6.145321268
GTPBP4.2,7.870019922
NKIRAS2,7.354301353
GOLGA5,7.661118539
SUV420H1,8.626018001
RUFY1,8.54392023
NOL8,7.884900833
TSKU,7.891677963
MUL1,7.242000803
MEX3C.2,7.675642481
FAM111A,8.55110971
ZDHHC6,9.398185328
CNOT7.1,8.869743999
MID1IP1,6.709271025
CKAP2.4,5.088334616
EIF2D,9.081881307
SAR1B.1,8.372785447
FBRS,6.94107195
NUP54.1,8.633848728
UGGT1,5.900201559
POLR1D,9.037137597
MKL2.3,9.296059406
DDA1,6.917584951
AP1M2,8.068323549
RMND5B.1,7.215570797
ZBED5,9.300779062
BCCIP,7.254057403
SECISBP2,8.362860008
NCS1,5.387834117
CINP.1,5.942810061
TBC1D15,7.926775959
DROSHA,8.137676414
MRPL24,8.868705194
PARL,8.761489364
TTC38.2,7.590067585
PDP1,5.410339734
ANKZF1,7.462145813
SLC25A10,6.594049087
SAV1,7.992312141
DHX40,8.544388586
WDR74,6.854783222
NA..3073,4.770910908
HIST2H2AA3.1,8.167577233
MRPL48,8.171847206
EDEM2,6.081868949
SS18L2,8.3292484
SMAD3.3,8.653643099
BDH2,11.36741221
RNF7,7.404777241
AGO1,7.021732848
CCDC90B.1,8.187821444
UBA5,7.918043481
MIR6789,7.96892927
LAMTOR2,8.118296711
PRKAG2.1,6.057854355
NUP50.1,3.76660172
NUP50.2,6.142124188
NUP50.3,5.802764641
MSTO1,6.683946215
FAM188A.1,7.806491702
C14orf159.1,8.580225123
C11orf24,7.284150422
PAGR1.1,7.693777641
RNPEPL1,6.554116782
PSENEN,7.059009978
KRCC1,8.499787335
OSBPL11,7.416746113
IPO4.1,7.175224313
HERC1,8.990234902
RSAD1,8.319651151
TACC3,5.632190421
CAMK2N1,10.30357343
KCTD7.3,8.851646033
MAP4K3,7.859022851
ZSCAN18.1,9.561658249
GALNT7,7.371416894
C11orf57.3,6.645492063
CDK5RAP1,7.677063855
TIMM9,7.455587894
LOC101929864,7.427296228
NLK,4.864552714
PELI1,8.345561364
NDUFB11,10.0698118
STYXL1,8.043073919
ACSL5,6.618365933
RHOT1,7.428355542
SPATS2.1,6.162421289
DIDO1.1,7.886565513
LGR4,9.167422688
SNAP29,7.462454986
